Aegis Angel,Rare,1
Ajani Steadfast,Mythic,1
Ajani's Pridemate,Uncommon,2
"Avacyn, Guardian Angel",Rare,1
Battle Mastery,Uncommon,2
Boonweaver Giant,Uncommon,2
Congregate,Uncommon,2
Constricting Sliver,Uncommon,2
Dauntless River Marshal,Uncommon,2
Devouring Light,Uncommon,2
Divine Favor,Common,4
Divine Verdict,Common,5
Ephemeral Shields,Common,5
First Response,Uncommon,2
Geist of the Moors,Uncommon,2
Heliod's Pilgrim,Common,5
Hushwing Gryff,Rare,1
Inspired Charge,Common,5
Kinsbaile Skirmisher,Common,5
Marked by Honor,Common,4
Mass Calcify,Rare,1
Meditation Puzzle,Common,5
Midnight Guard,Common,4
Oppressive Rays,Common,5
Oreskos Swiftclaw,Common,5
Paragon of New Dawns,Uncommon,2
Pillar of Light,Common,3
Preeminent Captain,Rare,1
Raise the Alarm,Common,5
Razorfoot Griffin,Common,3
Resolute Archangel,Rare,1
Return to the Ranks,Rare,1
Sanctified Charge,Common,5
Selfless Cathar,Common,5
Seraph of the Masses,Uncommon,2
Serra Angel,Uncommon,1
Solemn Offering,Common,5
Soul of Theros,Mythic,1
Soulmender,Common,6
Spectra Ward,Rare,1
Spirit Bonds,Rare,1
Sungrace Pegasus,Common,5
Tireless Missionaries,Common,4
Triplicate Spirits,Common,5
Wall of Essence,Uncommon,2
Warden of the Beyond,Uncommon,2
Aeronaut Tinkerer,Common,5
Ætherspouts,Rare,1
Amphin Pathmage,Common,5
Cancel,Common,5
Chasm Skulker,Rare,1
Chief Engineer,Rare,1
Chronostutter,Common,5
Coral Barrier,Common,5
Diffusion Sliver,Uncommon,2
Dissipate,Uncommon,2
Divination,Common,5
Encrust,Common,5
Ensoul Artifact,Uncommon,2
Frost Lynx,Common,5
Fugitive Wizard,Common,3
Glacial Crasher,Common,5
Hydrosurge,Common,4
Illusory Angel,Uncommon,2
Into the Void,Uncommon,2
Invisibility,Common,4
"Jace, the Living Guildpact",Mythic,1
Jace's Ingenuity,Uncommon,2
"Jalira, Master Polymorphist",Rare,1
Jorubai Murk Lurker,Uncommon,2
Kapsho Kitefins,Uncommon,2
Mahamoti Djinn,Rare,1
Master of Predicaments,Rare,1
Mercurial Pretender,Rare,1
Military Intelligence,Uncommon,2
Mind Sculpt,Common,5
Negate,Common,5
Nimbus of the Isles,Common,5
Paragon of Gathering Mists,Uncommon,2
Peel from Reality,Common,5
Polymorphist's Jest,Rare,1
Quickling,Uncommon,2
Research Assistant,Common,5
Soul of Ravnica,Mythic,1
Statute of Denial,Common,4
Stormtide Leviathan,Rare,1
Turn to Frog,Uncommon,2
Void Snare,Common,5
Wall of Frost,Uncommon,2
Welkin Tern,Common,4
Accursed Spirit,Common,5
Black Cat,Common,4
Blood Host,Uncommon,2
Carrion Crow,Common,5
Caustic Tar,Uncommon,2
Child of Night,Common,5
Covenant of Blood,Common,5
Crippling Blight,Common,5
Cruel Sadist,Rare,1
Endless Obedience,Uncommon,2
Eternal Thirst,Common,5
Feast on the Fallen,Uncommon,2
Festergloom,Common,4
Flesh to Dust,Common,5
Gravedigger,Uncommon,2
In Garruk's Wake,Rare,1
Indulgent Tormentor,Rare,1
Leeching Sliver,Uncommon,2
Liliana Vess,Mythic,1
Mind Rot,Common,5
Necrobite,Common,5
Necrogen Scudder,Uncommon,2
Necromancer's Assistant,Common,5
Necromancer's Stockpile,Rare,1
Nightfire Giant,Uncommon,2
Nightmare,Rare,1
"Ob Nixilis, Unshackled",Rare,1
Paragon of Open Graves,Uncommon,2
Rotfeaster Maggot,Common,5
Sengir Vampire,Uncommon,1
Shadowcloak Vampire,Common,5
Sign in Blood,Common,5
Soul of Innistrad,Mythic,1
Stab Wound,Uncommon,2
Stain the Mind,Rare,1
Typhoid Rats,Common,4
Ulcerate,Uncommon,2
Unmake the Graves,Common,5
Walking Corpse,Common,5
Wall of Limbs,Uncommon,2
Waste Not,Rare,1
Witch's Familiar,Common,5
Xathrid Slyblade,Uncommon,2
Zof Shade,Common,4
Act on Impulse,Uncommon,2
Aggressive Mining,Rare,1
Altac Bloodseeker,Uncommon,2
Belligerent Sliver,Uncommon,2
Blastfire Bolt,Common,4
Borderland Marauder,Common,5
Brood Keeper,Uncommon,2
Burning Anger,Rare,1
"Chandra, Pyromaster",Mythic,1
Circle of Flame,Uncommon,2
Clear a Path,Common,5
Cone of Flame,Uncommon,2
Crowd's Favor,Common,5
Crucible of Fire,Rare,1
Forge Devil,Common,5
Foundry Street Denizen,Common,5
Frenzied Goblin,Uncommon,2
Furnace Whelp,Uncommon,1
Generator Servant,Common,5
Goblin Kaboomist,Rare,1
Goblin Rabblemaster,Rare,1
Goblin Roughrider,Common,3
Hammerhand,Common,4
Heat Ray,Uncommon,2
Hoarding Dragon,Rare,1
Inferno Fist,Common,3
Kird Chieftain,Uncommon,2
Krenko's Enforcer,Common,5
"Kurkesh, Onakke Ancient",Rare,1
Lava Axe,Common,5
Lightning Strike,Common,5
Might Makes Right,Uncommon,2
Miner's Bane,Common,4
Paragon of Fierce Defiance,Uncommon,2
Rummaging Goblin,Common,4
Scrapyard Mongrel,Common,5
Seismic Strike,Common,5
Shivan Dragon,Rare,1
Shrapnel Blast,Uncommon,2
Siege Dragon,Rare,1
Soul of Shandalar,Mythic,1
Stoke the Flames,Uncommon,2
Thundering Giant,Common,5
Torch Fiend,Common,5
Wall of Fire,Common,5
Ancient Silverback,Uncommon,2
Back to Nature,Uncommon,2
Carnivorous Moss-Beast,Common,5
Centaur Courser,Common,5
Charging Rhino,Common,5
Chord of Calling,Rare,1
Elvish Mystic,Common,5
Feral Incarnation,Uncommon,2
Garruk's Packleader,Uncommon,1
Gather Courage,Uncommon,2
Genesis Hydra,Rare,1
Hornet Nest,Rare,1
Hornet Queen,Rare,1
Hunt the Weak,Common,4
Hunter's Ambush,Common,5
Invasive Species,Common,4
Kalonian Twingrove,Rare,1
Life's Legacy,Rare,1
Living Totem,Common,5
Naturalize,Common,5
Netcaster Spider,Common,4
"Nissa, Worldwaker",Mythic,
Nissa's Expedition,Uncommon,2
Overwhelm,Uncommon,2
Paragon of Eternal Wilds,Uncommon,2
Phytotitan,Rare,1
Plummet,Common,5
Ranger's Guile,Common,5
Reclamation Sage,Uncommon,2
Restock,Uncommon,2
Roaring Primadox,Uncommon,2
Runeclaw Bear,Common,5
Satyr Wayfinder,Common,5
Shaman of Spring,Common,5
Siege Wurm,Common,3
Soul of Zendikar,Mythic,1
Sunblade Elf,Uncommon,2
Terra Stomper,Rare,1
Titanic Growth,Common,5
Undergrowth Scavenger,Common,5
Venom Sliver,Uncommon,2
Verdant Haven,Common,5
Vineweft,Common,4
Wall of Mulch,Uncommon,2
"Yisan, the Wanderer Bard",Rare,1
"Garruk, Apex Predator",Mytic,
Sliver Hivelord,Mythic,
Avarice Amulet,Rare,1
Battlefield Forge,Rare,1
Brawler's Plate,Uncommon,2
Bronze Sable,Common,5
